"YearStart","LocationDesc","Data_Value","Data_Value_Footnote","Sample_Size","StratificationCategory1","Stratification1"
2011,"Nebraska",30.5,"",3687,"Income","$50,000 - $74,999"
2011,"Nebraska",25.1,"",4855,"Income","$75,000 or greater"
2011,"Nebraska",21.3,"",2599,"Income","Data not reported"
2011,"Nebraska",29.2,"",2253,"Income","Less than $15,000"
2011,"Nevada",24.2,"",786,"Income","$15,000 - $24,999"
2011,"Nevada",25.4,"",511,"Income","$25,000 - $34,999"
2011,"Nevada",24,"",725,"Income","$35,000 - $49,999"
2011,"Nevada",29.7,"",805,"Income","$50,000 - $74,999"
2011,"Nevada",22.3,"",1274,"Income","$75,000 or greater"
2011,"Nevada",22.6,"",653,"Income","Data not reported"
2011,"Nevada",24.6,"",451,"Income","Less than $15,000"
2011,"New Hampshire",29.1,"",808,"Income","$15,000 - $24,999"
2011,"New Hampshire",24.2,"",600,"Income","$25,000 - $34,999"
2011,"New Hampshire",26.7,"",825,"Income","$35,000 - $49,999"
2011,"New Hampshire",28.6,"",885,"Income","$50,000 - $74,999"
2011,"New Hampshire",24.3,"",1632,"Income","$75,000 or greater"
2011,"New Hampshire",23.2,"",789,"Income","Data not reported"
2011,"New Hampshire",30.9,"",510,"Income","Less than $15,000"
2011,"New Jersey",30.4,"",2005,"Income","$15,000 - $24,999"
2011,"New Jersey",26.6,"",1203,"Income","$25,000 - $34,999"
2011,"New Jersey",26.1,"",1476,"Income","$35,000 - $49,999"
2011,"New Jersey",23.4,"",1820,"Income","$50,000 - $74,999"
2011,"New Jersey",21,"",4662,"Income","$75,000 or greater"
2011,"New Jersey",18.4,"",2004,"Income","Data not reported"
2011,"New Jersey",28.5,"",960,"Income","Less than $15,000"
2011,"New Mexico",29.6,"",1728,"Income","$15,000 - $24,999"
2011,"New Mexico",24.2,"",1065,"Income","$25,000 - $34,999"
2011,"New Mexico",27.2,"",1178,"Income","$35,000 - $49,999"
2011,"New Mexico",27.7,"",1114,"Income","$50,000 - $74,999"
2011,"New Mexico",22,"",1713,"Income","$75,000 or greater"
